,h1_z1,h1_z2,h1_z3,h2_z1,h2_z2,h2_z3,h3_z1,h3_z2,h3_z3,h4_z1,h4_z2,h4_z3,h5_z1,h5_z2,h5_z3,h6_z1,h6_z2,h6_z3,h7_z1,h7_z2,h7_z3,h8_z1,h8_z2,h8_z3,h9_z1,h9_z2,h9_z3,h10_z1,h10_z2,h10_z3,h11_z1,h11_z2,h11_z3,h12_z1,h12_z2,h12_z3
0,0.21103896103896108,-0.5800000000000001,-0.17025974025974033,-1.313658536585366,-1.187560975609756,-0.20487804878048785,-0.632051282051282,-0.14410256410256403,0.02487179487179483,-1.1094285714285717,-0.3488571428571428,-0.3251428571428572,-1.504333333333333,-0.8433333333333334,-0.4850000000000001,-0.42120000000000013,-0.6624,-0.07980000000000004,-0.27458333333333335,-0.6983333333333333,0.1002083333333333,-1.221111111111111,-0.7912962962962963,0.01759259259259261,-0.6670370370370371,-0.5407407407407406,-0.7996296296296298,-0.9004166666666666,-0.2058333333333333,0.014583333333333282,-1.1628947368421054,-0.5760526315789473,0.039736842105263154,-0.3917808219178082,-0.587945205479452,-0.2595890410958904
0,0.21103896103896108,-0.5800000000000001,-0.17025974025974033,-1.313658536585366,-1.187560975609756,-0.20487804878048785,-0.632051282051282,-0.14410256410256403,0.02487179487179483,-1.1094285714285717,-0.3488571428571428,-0.3251428571428572,-1.504333333333333,-0.8433333333333334,-0.4850000000000001,-0.42120000000000013,-0.6624,-0.07980000000000004,-0.27458333333333335,-0.6983333333333333,0.1002083333333333,-1.221111111111111,-0.7912962962962963,0.01759259259259261,-0.6670370370370371,-0.5407407407407406,-0.7996296296296298,-0.9004166666666666,-0.2058333333333333,0.014583333333333282,-1.1628947368421054,-0.5760526315789473,0.039736842105263154,-0.3917808219178082,-0.587945205479452,-0.2595890410958904
0,0.21103896103896108,-0.5800000000000001,-0.17025974025974033,-1.313658536585366,-1.187560975609756,-0.20487804878048785,-1.3471111111111111,-0.5246666666666666,-0.02200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22523809523809527,-0.07285714285714286,0.21714285714285717
0,0.24840579710144922,-0.4139130434782609,-0.1300000000000001,-1.1533333333333335,-0.7152380952380951,-0.08523809523809528,-0.626547619047619,-0.26499999999999996,0.08392857142857142,-1.2791428571428571,-0.7434285714285714,-0.22228571428571428,-1.3426666666666667,-1.1453333333333333,-0.7803333333333333,-0.5445999999999999,-0.43699999999999994,-0.028600000000000028,-0.2647916666666667,-0.6733333333333333,0.23520833333333338,-1.3805555555555555,-0.764074074074074,0.14444444444444443,-0.9006896551724138,-0.7344827586206897,-1.06,-0.8122916666666667,-0.3552083333333333,0.13729166666666662,-1.1913157894736843,-0.1610526315789474,-0.15500000000000003,-0.35356321839080473,-0.5122988505747127,-0.25804597701149423
0,0.2876923076923077,-0.38461538461538464,-0.22323076923076926,-0.9757142857142856,-1.0176190476190474,-0.2621428571428572,-0.54144578313253,-0.33566265060240963,-0.01590361445783137,-1.3051428571428572,-0.5611428571428569,-0.3285714285714285,-1.2993333333333335,-1.1756666666666669,-0.7746666666666666,-0.6792,-0.5102,0.05039999999999997,-0.16958333333333334,-0.6504166666666666,0.25020833333333337,-1.4135185185185182,-0.7622222222222221,0.16555555555555554,-0.7796551724137932,-0.7403448275862069,-1.0313793103448277,-0.7941666666666666,-0.41687499999999994,0.11479166666666664,-1.3273684210526318,-0.17315789473684215,-0.15210526315789477,-0.3093750000000001,-0.351375,-0.14012500000000003
0,0.618936170212766,-0.3285106382978724,-0.18351063829787237,-1.2880952380952384,-0.8628571428571429,-0.5771428571428572,-0.5048648648648649,-0.2567567567567567,0.15337837837837837,-0.7480000000000002,-0.9848571428571427,-0.07257142857142859,-1.5783333333333331,-0.6673333333333333,-0.33,-0.36,-0.6000000000000001,-0.25360000000000005,-0.13589285714285718,-0.4007142857142858,-0.2603571428571429,-1.0903703703703702,-0.9001851851851853,-0.04018518518518522,-1.42,-1.1121739130434782,-0.5108695652173912,-0.7846808510638297,-0.45680851063829775,-0.12638297872340432,-1.0927272727272728,-0.22863636363636364,0.0677272727272727,-0.14824,-0.5543199999999998,-0.13944000000000006
0,0.2163235294117646,-0.5511764705882354,-0.2979411764705883,-1.148095238095238,-1.0635714285714282,-0.18904761904761905,-0.8055555555555555,-0.16777777777777772,0.2386111111111111,-0.7722857142857145,-0.6834285714285713,0.15685714285714283,-1.792,-1.1016666666666666,-0.7573333333333333,-0.27939999999999987,-1.1698,-0.18520000000000003,-0.4676363636363637,-0.47390909090909095,-0.17781818181818185,-1.383333333333333,-0.6614814814814814,0.06314814814814812,-1.5653846153846152,-0.3903846153846154,-0.6323076923076923,-1.3257446808510638,-0.5410638297872341,-0.36468085106382986,-1.4647727272727271,-0.44386363636363646,0.0918181818181818,-0.473,-0.4556666666666667,-0.2720000000000001
0,0.34849462365591394,-0.4243010752688172,-0.2811827956989248,-1.3376190476190477,-0.9526190476190476,-0.661904761904762,-0.6136486486486487,-0.4340540540540541,0.08891891891891891,-0.5354285714285716,-1.075142857142857,-0.15857142857142859,-1.261,-0.8633333333333333,-0.26200000000000007,-0.37599999999999995,-0.6302,-0.2248,-0.22312500000000002,-0.4289285714285715,-0.09750000000000004,-1.1044444444444446,-0.9457407407407407,-0.036481481481481504,-1.4460869565217394,-1.0260869565217392,-0.08521739130434787,-0.7929787234042553,-0.49808510638297865,-0.365531914893617,-1.0629545454545455,-0.31795454545454543,-0.1270454545454546,-0.13292682926829272,-0.5077235772357723,-0.14154471544715447
0,-0.03784313725490201,-0.27549019607843134,0.2694117647058824,-0.9064285714285715,-1.1459523809523808,-0.5233333333333332,-0.7009722222222222,-0.35027777777777785,0.09694444444444444,-0.8605714285714287,-0.6822857142857143,-0.11399999999999999,-1.5586666666666669,-1.026,-0.7666666666666667,-0.6674000000000001,-0.503,-0.032,-0.052900000000000044,-0.27380000000000004,-0.06470000000000004,-1.2061111111111114,-1.1546296296296295,-0.09203703703703708,-1.1466666666666667,-0.9270370370370371,-0.09888888888888892,-0.7917021276595746,-0.34,0.02255319148936171,-1.3047727272727274,0.23022727272727275,-0.6156818181818182,0.22815789473684212,-0.013421052631578941,-0.4038157894736843
0,-0.17107692307692313,-0.3706153846153846,-0.1207692307692308,-1.1511904761904763,-0.9728571428571429,-0.5161904761904763,-0.5365277777777779,-0.08444444444444449,0.1520833333333333,-0.7694285714285716,-0.6674285714285714,0.04828571428571427,-1.1163333333333334,-1.3083333333333331,-0.838,-0.4382,-0.7110000000000001,0.107,0.01920000000000002,-0.5468000000000001,-0.028000000000000042,-1.2518518518518518,-0.883148148148148,-0.18740740740740744,-1.6525925925925928,-0.8829629629629628,-0.37629629629629624,-0.8240425531914894,-0.3791489361702128,-0.01765957446808512,-1.3731111111111112,-0.19000000000000006,-0.3008888888888889,-0.2553731343283582,-0.5874626865671642,-0.2529850746268657
